Rank,Song,Artist,Year,Lyrics,Source,Label,Ownership
62,all day and all of the night,the kinks,1965,and here come the kinks with all day and all of the night im not content to be with you in the daytime girl i want to be with you all of the time the only time i feel alright is by your side girl i want to be with you all of the time all day and all of the night all day and all of the night all day and all of the night i believe that you and me last forever oh yeah all day and nighttime yours leave me never the only time i feel alright is by your side girl i want to be with you all of the time all day and all of the night all day and all of the night oh come on i believe that you and me last forever oh yeah all day and nighttime yours leave me never the only time i feel alright is by your side girl i want to be with you all of the time all day and all of the night all day and all of the night time all day and all of the night,3,Romantic,Snehal
63,what the world needs now is love,jackie deshannon,1965,what the world needs now is love sweet love its the only thing that theres just too little of what the world needs now is love sweet love no not just for some but for everyonelord we dont need another mountain there are mountains and hillsides enough to climb there are oceans and rivers enough to cross enough to last till the end of timewhat the world needs now is love sweet love its the only thing that theres just too little of what the world needs now is love sweet love no not just for some but for everyonelord we dont need another meadow there are cornfields and wheat fields enough to grow there are sunbeams and moonbeams enough to shine oh listen lord if you want to knowwhat the world needs now is love sweet love its the only thing that theres just too little of what the world needs now is love sweet love no not just for some oh but just for ever every everyonewhat the world needs now is love sweet love oh is love what the world needs now is love sweet love oh is love what the world needs now is love sweet love oh is love,1,Happy,Snehal
64,its not unusual,tom jones,1965,its not unusual to be loved by anyone its not unusual to have fun with anyone but when i see you hanging about with anyone its not unusual to see me cry oh i wanna dieits not unusual to go out at any time but when i see you out and about its such a crime if you should ever want to be loved by anyone its not unusualit happens every day no matter what you say you find it happens all the time love will never do what you want it to why cant this crazy love be mineits not unusual to be mad with anyone its not unusual to be sad with anyone but if i ever find that youve changed at anytime its not unusual to find out that im in love with you whoa oh oh oh oh,1,Betray,Snehal
65,shes about a mover,sir douglas quintet,1965,well she was walking down the street looking fine as she could be hey hey well she was walking down that street looking fine as she can be well you know i love you baby wo yeah what id say shes about a mover shes about a mover shes about a mover shes about a mover hey hey hey hey what id say shes about a mover shes about a mover well you know i love you baby wo yeah what id say hey hey she strolled on up to me said hey big boy whats your name hey hey well she strolled on up to me she said hey big boy whats your name if you want love and conversation wo yeah what id say shes about a mover shes about a mover shes about a mover shes about a mover hey hey hey hey what id say shes about a mover shes about a mover if you want love and conversation wo yeah what id say hey hey well you know i love you baby wo yeah what id say hey hey come on do it to me baby yeah,5,Happy,Snehal
66,shake,sam cooke,1965,shake shake shake shakelistenlisten while i talk to you i tell you what were gonna do theres a new thing thats going around and ill tell you what theyre puttin downjust move your body all around and just shake oh mamma shake thats the way to do it shake oh youre looking good now shake yeah hashake it like a bowl of soup and make your body loop de loop put your hands on your hips and kinda let your backbone slip move your body like a whip and just shakeumm thats doing it shake yeah youre looking good now shake go on do it baby shake yeah ohha ringalingaling honey shakin is the latest thing and if you want to swing just loosen up them shouldersand if you want to really roll you got to do the thing with soul shake the shake with all your might oh if you do it do it right just make your body loose and light and kinda shake oh honeyshake hoo shake oh thats the way to do it shake ah ah ah ah ahyeahalrightoh youre doing it now honeycmon loosen up them shouldersif you want to really roll got to do the thing with soul shake the shake with all your might now if you do it do it right make your body loose and light and just shake oh i like to do it shake make me feel good now shake all gone baby shake dont be shy now shake dance with you mama shake dont do it baby shake oh yeah shake,1,Party,Snehal
67,wonderful world,hermans hermits,1965,i dont know much about my history now dont know much about biology dont know much about the science book now dont know much about the french i tookall i do know is i love you now and i wonder if you love me too ooh what a wonderful world this could beooh i dont know much about geography now dont know much about trigonometry now dont know much about the algebra dont know what a slide rule is forbut i do know one and one is two now and i wonder if you love me too ooh what a wonderful world this could bei dont claim to be an a student but thats what im trying to be but by being an a student baby look like i could win your love for medont know much about the history now oh now dont know much about biology i dont know much about the science book now dont know much about the good french i took ohall i do know is i love you now oh now and i wonder if you love me too ooh what a wonderful world this could begood lord i dont claim to be an a student but thats what im trying to be oh now but if i have to be an a student baby im gonna win your love for mei dont know much about geography now oh now dont know much about trigonometry dont know much about the algebra now dont know what a good slide rule is forbut i do know one and one is two now oh now and i wonder if you love me too ooh what a wonderful world this could beoh my my good lord ive been trying ive been trying ive been trying oh lord to understand the thing that ive been looking for,1,Sad,Snehal
68,nowhere to run,martha and the vandellas,1965,nowhere to run to baby nowhere to hide got nowhere to run to baby nowhere to hide its not love im runnin from its the heartaches i know will come cause i know youre no good for me but youve become a part of me everywhere i go your face i see every step i take you take with me nowhere to run to baby nowhere to hide got nowhere to run to baby nowhere to hide i know youre no good for me but free of you ill never be no each time as i speak into my heart you creep i wake up feelin sorry i met you hopin soon that ill forget you when i look in the mirror and comb my hair i see your face just asmilin there nowhere to run nowhere to hide love is my fate got nowhere to run to baby nowhere to hide i know youre no good for me but youve become a part of me how can i fight a love thats sugarsweet when its soul deep soul deep deep inside of me my love reaches so high i cant get over it its so wide i cant get around it no nowhere to run nowhere to hide love is my fate just cant get away from you baby no matter how i try i know youre no good for me but free of you ill never be nowhere to run to baby nowhere to hide got nowhere to run to baby nowhere to hide ive nowhere to run,3,Betray,Snehal
69,heart full of soul,the yardbirds,1965,sick at heart and lonely deep in dark despair thinking one thought only where is she tell me where and if she says to you she dont love me just give her my message tell her of my plea and i know well if she had me back again well i would never make her sad ive gotta heart full of soul and i know well if she had me back again well i would never make her sad ive gotta heart full of soul shes been gone such a long time longer than i can bear but if she says she wants me tell her that ill be there and if she says to you she dont love me just give her my message tell her of my plea and i know well if she had me back again well i would never make her sad ive gotta heart full of soul,3,Betray,Snehal
70,love potion no 9,the searchers,1965,i took my troubles down to madam ruth you know that gypsy with the gold capped tooth shes got a path down on thirtyfourth and vine sellin little bottles of love potion no 9 i told her that i was a flop with chicks ive been that way since nineteen fiftysix she looked at my palm and she made a magic sign she said what you need is love potion no 9 she bent down and turned around and gave me a wink she said im gonna make it up right here in the sink it smelled like turpentine and looked like indian ink i held my nose i closed my eyes i took a drink i didnt know if it was day or night i started kissin evry thing in sight but when i kissed a cop down at thirtyfourth and vine he broke my little bottle of love potion no 9 i held my nose i closed my eyes i took a drink i didnt know if it was day or night i started kissin evry thing in sight but when i kissed a cop down at thirtyfourth and vine he broke my little bottle of love potion no 9 love potion no 9 love potion no 9 love potion no 9,3,Happy,Snehal
71,laurie strange things happen,dickey lee,1965,last night at the dance i met laurie so lovely and warm an angel of a girl last night i fell in love with laurie strange things happen in this world as i walked her home she said it was her birthday i pulled her close and said will i see you anymore then suddenly she asked for my sweater and said that she was very very cold i kissed her goodnight at her door and started home then thought about my sweater and went right back instead i knocked at her door and a man appeared i told why id come then he said youre wrong son you werent with my daughter how can you be so cruel to come to me this way my laurie left this world on her birthday she died a year ago today a strange force drew me to the graveyard i stood in the dark i saw the shadows wave and then i looked and saw my sweater lyin there upon her grave strange things happen in this world,3,Sad,Snehal
72,baby dont go,sonny  cher,1965,sonny  cher baby dont go pretty baby please dont go i never had a mother i hardly knew my dad ive been in town for eighteen years youre the only boy ive had i cant stay maybe ill be back some day baby dont go pretty baby please dont go i love you so pretty baby please dont go i never had no money i bought at the second hand store the way this old town laughs at me i just cant take it no more i cant stay im gonna be a lady some day baby dont go pretty baby please dont go i love you so pretty baby please dont go when i get to the city my tears will all be dry my eyes will look so pretty no ones gonna know i cried yes im goin away maybe ill be back some day baby dont go maybe ill be back some day baby dont go,5,Sad,Snehal
73,it aint me babe,the turtles,1965,go away from my window leave at your own chosen speed im not the one you want babe im not the one you needyou say youre lookin for someone whos never weak but always strong to protect you an defend you whether you are right or wrongsomeone to open each and every door but it aint me babe no no no it aint me babe well it aint me youre lookin for babego lightly from the ledge babe go lightly on the ground im not the one you want babe ill only lead your downyou say youre lookin for someone wholl promise never to part someone to close his eyes to you someone to close his heartsomeone who will die for you an more but it aint me babe no no no it aint me babe well it aint me youre lookin for babe no it aint me youre lookin for babei said no no no it aint me babe i said no no no it aint me babe i said no no no it aint me babe i said no no no it aint me babe,1,Betray,Snehal
74,tell her no,the zombies,1965,and if she should tell you come closer and if she tempts you with her charmstell her no no no no no no no no no no no no no no no no no no no no no dont hurt me now for her love belongs to meand if she should tell you come closer and if she tempts you with her charmstell her no no no no no no no no no no no no no no no no dont take her love for your arms no no no no no dont hurt me now for her love belongs to mei know shes the kind of girl whod throw my love away but i still love her so dont hurt me now dont hurt me nowif she tells you i love you just remember she said that to metell her no no no no no no no no no no no no no no no no dont take her love from my arms no no no no no dont leave her now for her love belongs to me,1,Party,Snehal
75,i go to pieces,peter and gordon,1965,peter miscellaneous i go to pieces i go to pieces del shannon d shannon when i see her comin down the street i get so shaky and i feel so weak i tell my eyes look the other way but they dont seem to hear a word i say and i go to pieces and i wanna hide go to pieces and i almost die everytime my baby passes by i tell my arms theyll hold someone new another love that will be true but they dont listen they dont seem to care they reach for her but shes not there and i go to pieces and i wanna hide go to pieces and i almost die everytime my baby passes by i remember what she said when she said goodbye baby well meet again soon maybe but until we do all my best to you im so lonely i think about her only i go to places we used to go but i know shell never show she hurt me so much inside now i hope shes satisfied and i go to pieces and i wanna hide go to pieces and i almost die everytime my baby passes by go to pieces and i cry everytime my baby passes by go to pieces and i cry,3,Romantic,Snehal
76,red roses for a blue lady,vic dana,1965,vic dana miscellaneous red roses for a blue lady red roses for a blue lady artist vic dana peak billboard position  10 in 1965 words and music by sid tepper and roy bennett just edged out contemporary  11 hit by bert kaempfert soundly beat wayne newtons contemporary  23 version previously a  3 hit for vaughn monroe in 1949 i want some red roses for a blue lady mister florist take my order please we had a silly quarrel the other day i hope these pretty flowers chase her blues away i want some red roses for a blue lady send them to the sweetest gal in town and if they do the trick ill hurry back to pick your best white orchid for her wedding gown i want some red roses for a blue lady we had a silly quarrel the other day i hope these pretty flowers chase her blues away i want some red roses for a blue blue lady send them to the sweetest gal in town and if they do the trick ill hurry back to pick your best white orchid for her wedding gown your best white orchid for her wedding gown transcribed by ronald e hontz ronhontzworldnetattnet,3,Party,Snehal
77,dont just stand there,patty duke,1965,please dont just stand there come and kiss me like before please dont just stand there looking down at the floor if something is wrong give me just one little sign if theres someone else please tell me tell me what what what whats on your mind once when wed meet youd run to hold me tight life was so sweet until tonight please dont just stand there get it over if were through please dont just stand there while my heart breaks in two knowing i care how can you be so unkind please stop hurting me and help me tell me what what what whats on your mind if its a game i dont want to play it and if its goodbye why cant you just say it why make me cry like you do how can you be so unkind please start loving me or leave me tell me what what what whats on your mind dont just stand there tell me what what what whats on your mind dont just stand there tell me what what what whats on your mind dont just stand there tell me what what what whats on your mind,5,Betray,Snehal
78,the tracks of my tears,the miracles,1965,people say im the life of the party cause i tell a joke or two although i might be laughing loud and hearty deep inside im blue so take a good look at my face you know my smile looks out of place if you look closer its easy to trace the tracks of my tears i need you need you since you left me if you see me with another girl looking like im having fun although she may be cute shes just a substitute cause youre the permanent one so take a good look at my face you know my smile looks out of place if you look closer its easy to trace the tracks of my tears outside im masquerading inside my hope is fading im just a clown since you put me down my smile is my make up i wear since my breakup with you baby take a good look at my face you know my smile looks out of place if you look closer its easy to trace the tracks of my tears,3,Sad,Snehal
79,too many rivers,brenda lee,1965,i wish i could come back to you dear cause i know that you want me too but too much waters run under that old bridge theres too many rivers between me and youtheres too many rivers to cross dear too many dreams have been lost and theres too many long nights that ive turned and tossed theres too many rivers to crossnow dont think for a moment i blame only you we both peeled the fruit on the vine and when you try to put love back together theres always a few little pieces that you cant findyes theres too many rivers to cross dear and theres too many dreams that have been lost aah theres too many long nights that ive turned and ive tossed theres too many rivers to cross,1,Sad,Snehal
80,i like it like that,the dave clark five,1965,come on come on let me show you where its at ah come on come on let me show you where its at wow come on come on let me show you where its at i said the name of the place is i like it like that come on come on let me show you where its at ah come on come on let me show you where its at whoa i wanna show you come on let me show you where its at the name of the place is i like it like that they got a little place adown the track the name of the place is i like it like that you take sally and ill take sue and were gonna rock away all of our blues come on come on let me show you where its at oh come on come on let me show you where its at ah come on come on let me show you where its at the name of the place is i like it like that the last time i was down they lost my shoes they had some cat shoutin the blues the people was yellin and shoutin for more and all they kept sayin wasa go man go come on come on let me show you where its at ah come on come on let me show you where its at oh i wanna show you come on let me show you where its at i said the name of the place is i like it like that come on come on let me show you where its at ah come on come on let me show you where its at oh come on come on let me show you where its at the name of the place is i like it like that,3,Party,Snehal
81,little things,bobby goldsboro,1965,little things that you do  make me glad im in love with you little things that you say  make me glad that i feel this way the way you smile the way you hold my hand and when im down you always understand you know i love those little things i hear that you say when theres no one near little things that you do  let me know that your love is true when we walk you like to hold my hand and when we talk you tell me im your man you know i love those little things that i knew the little things you whispered in my ear i know there aint nobody else like you no one could do the little things you do little things that you do  make me glad im in love with you little things that you say  make me glad that i feel this way when we walk you like to hold my hand and when we talk you tell me im your man you know i love those little things that i knew the little things you whispered in my ear i know there aint nobody else like you,3,Romantic,Snehal
82,true love ways,peter and gordon,1965,peter miscellaneous true love ways true love ways buddy holly yes you know why why you and i will by and by know true love ways sometimes well sigh sometimes well cry and well know why just you and i know true love ways throughout the days our true love ways will bring us joy to share with those who really care sometimes well sigh sometimes well cry and well know why just you and i know true love ways,3,Party,Snehal
83,its the same old song,four tops,1965,youre sweet as a honey bee but like a honey bee stings youve gone and left my heart in pain all you left is our favorite song the one we danced to all night long it used to bring sweet memories of a tender love that used to benow its the same old song but with a different meaning since you been gone its the same old song but with a different meaning since you been gone i oh isentimental fool am i to hear a old love song and wanna cry cause the melody keeps haunting me reminding me how in love we used to be keep hearing the part that used to touch my heart saying together forever breaking up neverits the same old song but with a different meaning since you been gone but its the same old song but with a different meaning since you been goneprecious memories keep a lingering on every time i hear our favorite song now youre gone left this emptiness i only reminisce the happiness we spent we used to dance to the music make romance through the musicnow its the same old song but with a different meaning since you been gone its the same old song but with a different meaning since you been gone i oh iits the same old song but with a different meaning since you been gone its the same old song,1,Betray,Snehal
84,youve got your troubles,the fortunes,1965,NA,NA,,Snehal
85,hold what youve got,joe tex,1965,youd better hold on hold on to what youve got youd better hold on hold on to what youve got cause if you think nobody wants it just throw it away and you will see someone will have it before you can count one two three yes they will yes they will listen fellows you know its not all the time that a man can have a good woman a women he can call his very own a woman who will stay right there at home and mind the children while hes gone to work a woman who will have his dinner cooked when he comes home where some men make mistakes is when they go out and stay because they feel that no other man wants his woman but him but listen if you think no other man wants her just throw her away and you will see some men will have her before you can count one two three yes he will yes he willlisten girls this goes for you too because you know ive seen so many women whove had so many good men in life men who would stand by them through thick and thin men whod go to work everyday and bring home their hard earned pay men whod give their woman anything that their little hearts desired where some women make mistakes is when their men go out and let em play they would stay because they felt that no other woman wanted him but her listen if you think no other woman wants him just pitch him out in the street and you will see some woman will have your man before you can count one two three yes she will yes she will,1,Sad,Snehal
86,we gotta get out of this place,the animals,1965,midnight finds me cryin day time finds me cryin too ive got to get out of town this whole city just brings me down yeahgotta get away gotta get away gotta get awayi made a promise to you such a long time ago now baby now baby now baby now baby its time to make it come true yeah come through yeah come true yeah come through yeah come true yeahin this dirty old part of the city where the sun refuse to shine people tell me there aint no use in me trying no little girl youre so young and youre so pretty and one thing i know is true your going to be dead before your time is duesee my daddy in bed dying watched his hair been turning gray i know hes been working and slaving working and slaving slaving and working working yeah work yeah yeah yeah yeahwe gotta get out of this place if its the last thing we ever do we gotta get out of this place theres a better life dont you know dont you know man dont you know dont you know dont you knowwell well well time brings about a change time on the clock on the wall brings about a change yeah all of his life hes been slaving all of the life hes been workingfor what for what for what for what give it up give it up give it up give it up yeahsee my daddy in bed dying watched his hair been turning gray i know hes been working and slaving and slaving and working and working and slaving working yeah work yeah yeah yeah yeahwe gotta get out of this place if its the last thing we ever do we gotta get out of this place theres a better life dont you know dont you know dont you knowtake me take me take mewe gotta get out of this place if its the last thing we ever do we just gotta get out of this place theres a better life theres a better world theres a better way dont you know dont you know dont you knowwe gotta get out of this place if its the last thing we ever do we gotta get out of this place theres a better world dont you know dont you know dont you know i want to get you out of this placeout of this place out of this place yeah yeah yeah,1,Sad,Snehal
87,laugh laugh,the beau brummels,1965,i hate to say it but i told you so dont mind my preachin to you i said dont trust em baby now you know you dont learn evrything there is to know in school wouldnt believe me when i gave advice i said that he was a tease if you want help you better ask me nice so be sincere convince me with a pretty please laugh laugh i thought id die it seemed so funny to me laugh laugh you met a guy who taught you how it feels to be lonely oh so lonely dont think im bein funny when i say you got just what you deserve i cant help feeling you found out today you thought you would you could you had a lot of nerve wont say im sorry for the things i said im glad he packed up to go you kept on braggin he was yours instead found you dont know evrything there is to know laugh laugh i thought id die it seemed so funny to me laugh laugh you met a guy who taught you how it feels to be lonely oh so lonely before i go i got to say one thing dont close your ears to me take my advice and you find out that he is just another guy wholl cause you misery dont say you cant get any boy to call dont be so smug or else youll find you cant get any boy atall youll wind up an old lady sittin on the shelf laugh laugh i thought id die it seemed so funny to me laugh laugh you met a guy who taught you how it feels to be lonely oh so lonely,3,Sad,Snehal
88,the last time,the rolling stones,1965,well i told you once and i told you twice but ya never listen to my advice you dont try very hard to please me with what you know it should be easy well this could be the last time this could be the last time maybe the last time i dont know oh no oh no well im sorry girl but i cant stay feelin like i do today its too much pain and too much sorrow guess ill feel the same tomorrow well this could be the last time this could be the last time maybe the last time i dont know oh no oh no well i told you once and i told you twice that someone will have to pay the price but heres a chance to change your mind cuz ill be gone a long long time well this could be the last time this could be the last time maybe the last time i dont know oh no oh no well this could be the last time,3,Sad,Snehal
89,do you believe in magic,the lovin spoonful,1965,do you believe in magic in a young girls heart how the music can free her whenever it starts and its magic if the music is groovy it makes you feel happy like an oldtime movie ill tell you about the magic and itll free your soul but its like trying to tell a stranger bout rock and roll if you believe in magic dont bother to choose if its jug band music or rhythm and blues just go and listen itll start with a smile it wont wipe off your face no matter how hard you try your feet start tapping and you cant seem to find how you got there so just blow your mind if you believe in magic come along with me well dance until morning til theres just you and me and maybe if the music is right ill meet you tomorrow sort of late at night and well go dancing baby then youll see how the magics in the music and the musics in me yeah do you believe in magic yeah believe in the magic of a young girls soul believe in the magic of rock and roll believe in the magic that can set you free ohh talking bout magic do you believe like i believe do you believe in magic do you believe like i believe do you believe believer do you believe like i believe do you believe in magic fade,3,Happy,Snehal
90,all i really want to do,cher,1965,now i aint lookin to compete with you beat on cheat on mistreat you simplify you classify you deny defy mystify youall i really want to do is baby be friends with you baby be friends with younow i aint lookin to fight with you frighten you or uptighten you drag you down or drain you down chain you down or bring you downall i really want to do is baby be friends with you baby be friends with youi aint lookin to block you up dock or rock or lock you up analyze you categorize you finalize or advertise youall i really want to do yeah is baby be friends with you baby be friends with youi dont want to straightface you race or chase or track or trace you or disgrace you or displace you or define you or confine youall i really want to do yeah is baby be friends with you baby be friends with younow i dont want to meet your kin make you spin or do you in or select you or dissect you or inspect you or reject youall i really want to do is baby be friends with you baby be friends with you,1,Party,Snehal
91,take me back,little anthony and the imperials,1965,take me back im beggin please take me back im on my knees for you to scold me hurt me hold me darling take me back when you belonged to me i had a jealous mind too late i learned that you were not the cheating kind take me back im beggin please take me back im on my knees for you to scold me hurt me hold me darling take me back my jealous eyes have learned to take a look or two they were too blind to see that i was losing you take me back im beggin please take me back im on my knees for you to scold me hurt me hold me darling take me back they say you live and learn and though ive tried before i promise never to be jealous any more take me back im beggin please take me back im on my knees for you to scold me hurt me hold me darling take me back,3,Betray,Snehal
92,i want candy,the strangeloves,1965,i know a girl whos soft and sweet shes so fine she cant be beat got everything that i desire sets the summer sun on fire i want candy i want candy go to see her with her hair hung down aint no finer girl in town candys just what the doctor ordered shes so sweet she makes my mouth water i want candy i want candy i want candy i want candy i want candy i want candy candy on the beach theres nothing better but i like candy when its wrapped in a sweater some day soon ill make her mine then ill have candy all the time i want candy i want candy hey hey hey hey hey hey hey hey hey,3,Party,Snehal
93,ooo baby baby,the miracles,1965,ooo la la la la i did you wrong my heart went out to play but in the game i lost you what a price to pay hey im crying ooo baby baby ooo baby baby mistakes i know ive made a few but im only human youve made mistakes too im crying ooo baby baby ooo baby baby im just about at the end of my rope but i cant stop trying i cant give up hope cause i feel that one day ill hold you near whisper i still love you until that day is here im crying ooo baby baby ooo baby baby ooo baby baby ooo baby baby ooo,3,Betray,Snehal
94,laugh at me,sonny bono,1965,why cant i be like any guy why do they try to make me run son of a gun now what do they care about the clothes i wear why get their kicks from making fun yeah this worlds got a lot of space and if they dont like my face it aint me thats going anywhere no so i dont care let em laugh at me if thats the fare i have to pay to be free then baby laugh at me and ill cry for you and ill pray for you and ill do all the things that the man upstairs says to do ill do em for you ill do em ill do em all for you its gotta stop someplace its gotta stop sometime ill make sure that shes mine and maybe the next guy that dont wear a silk tie he can walk by and say hi say hi instead of why instead of why instead of why babe instead of why what did i do to you i dont know what to do,3,Party,Snehal
95,treat her right,roy head,1965,i wanna tell you a story  every man oughta know  if you want a little lovin you gotta start real slow  shes gonna love you tonight now  if you just treat her right now  squeeze her real gentle  gotta make her feel good  tell her that you love her  like you know you should  so if you dont treat her right  she wont love you tonight  if you practice my method  just as hard as you can  youre gonna get a reputation  as a lovin man  and youll be glad every night  that you treated her right  music to fade,3,Romantic,Snehal
96,the race is on,jack jones,1965,i feel tears well in up from deep inside like my hearts goin to break and a stab of loneliness sharp and painful that i may never shake you might say that i was takin it hard since you gave me the final goodbye but dont you wager that ill hide the sorrow when i may break right down and cry now the race is on and here comes pride up the backstretch heartaches are goin to the inside my tears are holdin back theyre tryin not to fall my hearts out of the runnin true loves scratched for anothers sake the race is on and it looks like heartaches and the winner loses all one day i ventured in love never once suspectin what the final results would be how i lived in fear of wakin up each mornin and find that youre gone from me theres ache and pain in my heart for the name of the one that ill never replaced somebody new came up to win her and i came out in second place now the race is on and here comes pride up the backstretch heartaches are goin to the inside my tears are holdin back theyre tryin not to fall my hearts out of the runnin true loves scratched for anothers sake the race is on and it looks like heartaches and the winner loses all,3,Betray,Snehal
97,im a fool,dino desi  billy,1965,NA,NA,,Snehal
98,the boy from new york city,the ad libs,1965,oo ah oo ah oo oo kitty tell us about the boy from new york city oo ah oo ah come on kitty tell us about the boy from new york city hes kinda tall hes really fine yeah yeah someday i hope to make him mine all mine yeah yeah and hes neat and oh so sweet and the way he looked at me just swept me off my feet yeah yeah oo ee you oughta come and see how he walks yeah yeah and he talks oo ah oo ah oo oos kitty tell us about the boy from new york city oo ah oo ah come on kitty tell us about the boy from new york city hes really down and hes no clown yeah yeah he has the finest penthouse ive ever seen in town yeah yeah and hes cute in his mohair suit and he keeps his pockets full of spending loot yeah yeah oo ee yeah were all right yeah oo oo evry time he says he loves me chills run down my spine evry time he wants to kiss me he makes me feel so fine thats him alright hes the boy from new york city we call him jill were all right oo ah oo ah kitty tell us about the boy from new york city oo ah oo ah kitty tell us about the boy from new york city,3,Party,Snehal
99,keep searchin well follow the sun,del shannon,1965,no one will understand what ive gotta do ive gotta find a place to hide with my baby by my side shes been hurt so much they treat her mean and cruel they try to keep us far apart theres only one thing left we can dowe gotta keep searchin searchin find a place to hide searchin searchin shell be by my side if we gotta keep on the run well follow the sunah weeooh follow the sunah weeoohdoesnt matter doesnt matter what people might say shes mine and im gonna take her anywaygotta keep searchin searchin find a place to stay searchin searchin every night and day if we gotta keep on the run well follow the sunah weeooh follow the sunah weeooh,1,Romantic,Snehal
100,how sweet it is to be loved by you,marvin gaye,1965,how sweet it is to be loved by you yes baby how sweet it is to be loved by youooh baby i needed the shelter of someones arms and there you were i needed someone to understand my ups and downs and there you werewith sweet love and devotion deeply touching my emotioni want to stop stop and thank you baby i just want to stop and thank you baby hey nowhow sweet it is to be loved by you oh baby how sweet it is to be loved by you yes it isclose my eyes at night and wonder what would i be without you in my life everything was just a bore all the things i did seems ive done em before but you brightened up all of my days with a love so sweet in so many waysi want to stop stop and thank you baby i want to stop stop and thank you baby yeah how sweet it is to be loved by you oh yes it is how sweet it is to be loved by you yes it is babyyou were better to me than ive been to myself for me theres you and nobody elsestop stop and thank you baby i want to stop stop and thank you baby oh how sweet it is to be loved by you tell the truth baby how sweet it is to be loved by you well its like sugar in my soul how sweet it is to be loved by you oh yes it is,1,Romantic,Snehal
1,ballad of the green berets,ssgt barry sadler,1966,NA,NA,,Snehal
2,cherish,the association,1966,cherish is the word i use to describe all the feeling that i have hiding here for you inside you dont know how many times ive wished that i had told you you dont know how many times ive wished that i could hold you you dont know how many times ive wished that i could mold you into someone who could cherish me as much as i cherish you perish is the word that more than applies to the hope in my heart each time i realize that i am not gonna be the one to share your dreams that i am not gonna be the one to share your schemes that i am not gonna be the one to share what seems to be the life that you could cherish as much as i do yours oh im beginning to think that man has never found the words that could make you want me that have the right amount of letters just the right sound that could make you hear make you see that you are drivin me out of my mind oh i could say i need you but then youd realize that i want you just like a thousand other guys whod say they loved you with all the rest of their lies when all they wanted was to touch your face your hands and gaze into your eyes cherish is the word i use to describe all the feeling that i have hiding here for you inside you dont know how many times ive wished that i had told you you dont know how many times ive wished that i could hold you you dont know how many times ive wished that i could mold you into someone who could cherish me as much as i cherish you and i do cherish you and i do cherish you cherish is the word,3,Happy,Snehal
3,youre my soul and inspiration,the righteous brothers,1966,girl i cant let you do this let you walk away girl how can i live through this when youre all i wake up for each daybaby youre my soul and my lifes inspiration youre all ive got to get me by youre my soul and my inspiration without you baby what good am ii never had much goin but at least i had you how can you walk out knowin i aint got nothin left if you dobaby youre my soul and my lifes inspiration youre all ive got to get me by youre my soul and my inspiration without you baby what good am i oh what good am ibaby i cant make it withoutcha and im tellin ya honey youre my reason for laughin for cryin for livin and for dyinbaby i cant make it without you please im beggin you baby if you go it will kill me i swear it girl i just cant bear ityoure my soul and my lifes inspiration youre all ive got to get me by youre my soul and my inspiration without you baby what good am i oh what good am iyoure my soul and my lifes inspiration youre all ive got all ive got to get by soul inspiration oh baby im beggin you baby,1,Romantic,Snehal
4,reach out ill be there,the four tops,1966,now if you feel that you cant go on because all of your hope is gone and your life is filled with much confusion until happiness is just an illusion and your world around is crumblin down darling reach out come on girl reach on out for me reach out reach out for me ill be there with a love that will shelter you ill be there with a love that will see you throughwhen you feel lost and about to give up cause your best just aint good enough and you feel the world has grown cold and youre drifting out all on your own and you need a hand to hold darling reach out come on girl reach out for me reach out reach out for me ill be there to love and comfort you and ill be there to cherish and care for you ill be there with a love that will see you through ill be there to love and comfort youi can tell the way you hang your head youre without love and now youre afraid and through your tears you look around but theres no peace of mind to be found i know what youre thinkin youre alone now no love of your own but darling reach out come on girl reach out for me reach out just look over your shoulder ill be there to give you all the love you need and ill be there you can always depend on me,1,Sad,Snehal
5,96 tears,the mysterians,1966,the mysterians miscellaneous 96 tears too many teardrops for one heart to be cryin too many teardrops for one heart to carry on youre way on top now since you left me youre always laughin way down at me but watch out now im gonna get there well be together for just a little while and then im gonna put you way down here and youll start cryin ninetysix tears cry cry and when the sun comes up ill be on top youll be way down there lookin up and i might wave come up here but i dont see you wavin now im way down here wonderin how im gonna get you but i know now ill just cry cry ill just cry too many teardrops for one heart to be cryin too many teardrops for one heart to carry on youre gonna cry  ninetysix tears youre gonna cry  ninetysix tears youre gonna cry  cry cry cry now youre gonna cry  cry cry cry ninetysix tears  cmon and lemme hear you cry now ninetysix tears whoo   i wanna hear you cry night and day yeah all night long uhninetysix tears    cry cry cry cmon baby let me hear you cry now all night long uhninetysix tears  yeah  cmon now uhninetysix tears fade,3,Betray,Snehal
6,last train to clarksville,the monkees,1966,take the last train to clarksville and ill meet you at the station you can be be here by four thirty cause ive made your reservation dont be slow oh no no no oh no no no cause im leavin in the morning and i must see you again well have one more night together til the morning brings my train and i must go oh no no no oh no no no and i dont know if im ever coming home take the last train to clarksville ill be waiting at the station well have time for coffee flavored kisses and a bit of conversation oh no no no oh no no no take the last train to clarksville now i must hang up the phone i cant hear you in this noisy railroad station all alone im feelin low oh no no no oh no no no and i dont know if im ever coming home take the last train to clarksville and ill meet you at the station you can be be here by four thirty cause i made your reservation dont be slow oh no no no oh no no no and i dont know if im ever coming home take the last train to clarksville take the last train to clarksville take the last train to clarksville take the last train to clarksville,3,Happy,Snehal
